,Channel Name,Post Date,Message Text,Message ID,clean_text,message_channel,__index_level_0__,classification
0,nytimes,2024-06-24 18:55:30+00:00,"Here are some of the stories we are covering from around the world: 

Deadly Attack Revives Fears of the Return of Mass Terror in Russia

A deadly attack on a police station and places of worship in southern Russia raised the specter of a new wave of violence in the country’s restive Northern Caucasus region and underlined the mounting security challenges facing the Kremlin amid the demands of the war in Ukraine.

Princess Anne Hospitalized With Minor Injuries

Princess Anne, the younger sister of King Charles III, was hospitalized on Sunday evening after suffering a concussion and other minor injuries in an unspecified accident, Buckingham Palace said on Monday.

Iran’s Onerous Hijab Law for Women Is Now a Campaign Issue

In a sign that a women-led movement has gained ground, all of the men running for president have distanced themselves from the harsh tactics used to enforce mandatory hijab.

@nytimes",nytimes_3147,story covering around world deadly attack revives fear return mass terror russia deadly attack police station place worship southern russia raised specter new wave violence country restive northern caucasus region underlined mounting security challenge facing kremlin amid demand war ukraine princess anne hospitalized minor injury princess anne younger sister king charles iii hospitalized sunday evening suffering concussion minor injury unspecified accident buckingham palace said monday iran onerous hijab law woman campaign issue sign womenled movement gained ground men running president distanced harsh tactic used enforce mandatory hijab nytimes,story covering around world deadly attack revives fear return mass terror russia deadly attack police station place worship southern russia raised specter new wave violence country restive northern caucasus region underlined mounting security challenge facing kremlin amid demand war ukraine princess anne hospitalized minor injury princess anne younger sister king charles iii hospitalized sunday evening suffering concussion minor injury unspecified accident buckingham palace said monday iran onerous hijab law woman campaign issue sign womenled movement gained ground men running president distanced harsh tactic used enforce mandatory hijab nytimesnytimes,0,происшествия
1,timiliasov,2024-06-25 13:04:40+00:00,"В состоявшемся на днях шоу Vogue World на вандомскую площадь вышли модели в образах модниц-флэпперш из 1920-х. Можно было бы подумать, что это архивные вещи Dior времен Джона Гальяно, но нет, это Chanel, причем времен Габриэль Шанель. 

Три этих платья являются реконструкциями моделей Chanel столетней давности - из зимней коллекции 1924 года.  

Photo: Chanel archive",timiliasov_4389,состоявшемся днях шоу vogue world вандомскую площадь вышли модели образах модницфлэпперш <NUM>х подумать это архивные вещи dior времен джона гальяно это chanel причем времен габриэль шанель этих платья являются реконструкциями моделей chanel столетней давности зимней коллекции <NUM> года photo chanel archive,состоявшемся днях шоу vogue world вандомскую площадь вышли модели образах модницфлэпперш <NUM>х подумать это архивные вещи dior времен джона гальяно это chanel причем времен габриэль шанель этих платья являются реконструкциями моделей chanel столетней давности зимней коллекции <NUM> года photo chanel archivetimiliasov,3,мода
2,timiliasov,2024-06-25 10:45:30+00:00,"Что посмотреть на выходных? Куда сходить с друзьями на ужин? Чем обновить гардероб? Что происходит в мире искусства? Эти и другие вопросы мы задаём себе каждый день, а команда Ultima Yandex Concierge подробно отвечает на них в своем новом телеграм-канале Ultima Living — там можно найти полезные подборки на любую тему, а также посты от экспертов, которые делятся своими знаниями. 

Например, бывший главред российского ELLE Катя Мухина рассказывает о моде, а редактор канала Editors on Vacation делится своими любимыми московскими местами (многие из них рекомендуем занести в свой must visit список). 

Подписывайтесь, чтобы не пропустить все самые важные новости вашего города и мира!

#реклама",timiliasov_4388,посмотреть выходных сходить друзьями ужин обновить гардероб происходит мире искусства другие вопросы задаём каждый день команда ultima yandex concierge подробно отвечает своем новом телеграмканале ultima living найти полезные подборки любую тему также посты экспертов которые делятся своими знаниями например бывший главред российского elle катя мухина рассказывает моде редактор канала editor vacation делится своими любимыми московскими местами многие рекомендуем занести свой must visit список подписывайтесь пропустить самые важные новости вашего города мира реклама,посмотреть выходных сходить друзьями ужин обновить гардероб происходит мире искусства другие вопросы задаём каждый день команда ultima yandex concierge подробно отвечает своем новом телеграмканале ultima living найти полезные подборки любую тему также посты экспертов которые делятся своими знаниями например бывший главред российского elle катя мухина рассказывает моде редактор канала editor vacation делится своими любимыми московскими местами многие рекомендуем занести свой must visit список подписывайтесь пропустить самые важные новости вашего города мира рекламаtimiliasov,4,развлечения
3,timiliasov,2024-06-25 07:02:16+00:00,"А вот образ той же Merja Palkivaara, но в этот раз реконструирующий наряд конца 1890-х - начала 1900-х годов. Идеально воссоздан S-образный силуэт.  

Кстати, вспомните нашумевший кутюрный показ Margiela Джона Гальяно в начале года, он там обращался как раз к силуэту рубежа 1890-х и 1900-х годов",timiliasov_4385,образ той merja palkivaara реконструирующий наряд конца <NUM>х начала <NUM>х годов идеально воссоздан sобразный силуэт кстати вспомните нашумевший кутюрный показ margiela джона гальяно начале года обращался силуэту рубежа <NUM>х <NUM>х годов,образ той merja palkivaara реконструирующий наряд конца <NUM>х начала <NUM>х годов идеально воссоздан sобразный силуэт кстати вспомните нашумевший кутюрный показ margiela джона гальяно начале года обращался силуэту рубежа <NUM>х <NUM>х годовtimiliasov,7,мода
4,timiliasov,2024-06-25 05:02:20+00:00,"Я подписан на множество разных реконструкторов исторического костюма, но тут взгляд зацепился за точность силуэта, когда не только платье соответствует эпохе, но и корсет затянут ровно так, как это было модно (в данном случае в 1890-х).  

Это большая редкость. Во-первых, мастеров, способных произвести исторический корсет ровно таким, каким он был в ту или иную эпоху, по всему миру по пальцам пересчитать. Во-вторых, исторические корсеты даже привычным реконструкторам носить бывает сложно и они используют несколько адаптированные версии.   

Еще одна важная часть при создании силуэта - нижние юбки и разнообразные «улучшители фигуры» (вставки, накладки, нижние юбки). Здесь собраны все элементы нижнего платья и потому весь образ выглядит подлинным. Прекрасная работа! 

Героиня на фото и автор образа: Merja Palkivaara",timiliasov_4380,подписан множество разных реконструкторов исторического костюма взгляд зацепился точность силуэта платье соответствует эпохе корсет затянут ровно это модно данном случае <NUM>х это большая редкость вопервых мастеров способных произвести исторический корсет ровно таким каким ту иную эпоху всему миру пальцам пересчитать вовторых исторические корсеты привычным реконструкторам носить бывает сложно используют несколько адаптированные версии одна важная часть создании силуэта нижние юбки разнообразные улучшители фигуры вставки накладки нижние юбки собраны элементы нижнего платья весь образ выглядит подлинным прекрасная работа героиня фото автор образа merja palkivaara,подписан множество разных реконструкторов исторического костюма взгляд зацепился точность силуэта платье соответствует эпохе корсет затянут ровно это модно данном случае <NUM>х это большая редкость вопервых мастеров способных произвести исторический корсет ровно таким каким ту иную эпоху всему миру пальцам пересчитать вовторых исторические корсеты привычным реконструкторам носить бывает сложно используют несколько адаптированные версии одна важная часть создании силуэта нижние юбки разнообразные улучшители фигуры вставки накладки нижние юбки собраны элементы нижнего платья весь образ выглядит подлинным прекрасная работа героиня фото автор образа merja palkivaaratimiliasov,12,мода
5,timiliasov,2024-06-24 10:49:03+00:00,"Начинается кутюрная неделя (для меня всегда самая интересная). Прежде чем мы подступимся к ней, поделюсь с вами интересным диалогом из последней серии сериала «Стать Карлом Лагерфельдом». Как вы знаете, к этому сериалу у многих есть вопросы, однако и заслуживающие внимания моменты в нем тоже есть. 

Итак, в этой сцене Карл, желающий сделать бренд Chloe (в котором работает) Домом Haute Couture, встречается с Мадам Грэ. Дело происходит в начале 1980-х,  Грэ на правах старейшей из активных кутюрье и живой легенды возглавляет Синдикат Высокой моды. Грэ была одной из ключевых фигур моды еще до Второй Мировой войны. Когда Карл Лагерфельд и Ив Сен-Лоран еще не родились, она уже работала в Haute Couture.  К началу 1980-х Карл проделал большой путь от «новичка из дома Patou» к олимпу моды, а Грэ была «все еще тут», она казалась незыблемой. Представьте, насколько разным был мир в 1933 и 1983, а Мадам Грэ все это время работала и создавала свои фирменные драпировки. 

В диалоге есть много интересных нюансов, например замечание Мадам: «индустрия не изменилась, а вы все еще немец».  Дело в том, что Синдикат Высокой моды это профсоюз парижских кутюрье, да, именно парижских, и его главная цель - защита интересов парижских Домов Высокой моды.  Иностранцев синдикат не любил никогда и впускал крайне нехотя. Лишь во второй половине 1980-х ситуация изменилась и развитие получил статус «члена-корреспондента»  - полноправного участника синдиката Высокой моды, но без ателье в Париже; 

Далее Карл хочет показать образцы, но Грэ замечает, что «одного швейного мастерства Haute Couture недостаточно, это святыня, а не техника, поиск совершенства, а вы гонитесь за модой». И это очень важная фраза. Haute Couture находится как бы над модой, эти предметы не тиражируются, не продаются в магазинах, они просто не имеют возможности стать модными, это даже не вполне вещи, а скорее воплощенные в нарядах смыслы, идеи, это искусство. Важно и то, что От Кутюр - не только техника шитья, но особое пространство, сотканное из тысяч нюансов, правил и мастерства. Именно поэтому нельзя любое платье, сшитое вручную и украшенное вышивкой назвать произведением Высокой моды. 

Наконец, в этом диалоге Мадам Грэ повторяет правила, соблюдая которые, бренд сможет стать Домом и через несколько лет войти в Синдикат, но тут я уже комментировать не буду, просто послушайте.",timiliasov_4379,начинается кутюрная неделя самая интересная прежде подступимся поделюсь вами интересным диалогом последней серии сериала стать карлом лагерфельдом знаете этому сериалу многих вопросы однако заслуживающие внимания моменты нем итак сцене карл желающий сделать бренд chloe котором работает домом haute couture встречается мадам грэ дело происходит начале <NUM>х грэ правах старейшей активных кутюрье живой легенды возглавляет синдикат высокой моды грэ одной ключевых фигур моды второй мировой войны карл лагерфельд ив сенлоран родились работала haute couture началу <NUM>х карл проделал большой путь новичка дома patou олимпу моды грэ казалась незыблемой представьте насколько разным мир <NUM> <NUM> мадам грэ это время работала создавала свои фирменные драпировки диалоге интересных нюансов например замечание мадам индустрия изменилась немец дело синдикат высокой моды это профсоюз парижских кутюрье именно парижских главная цель защита интересов парижских домов высокой моды иностранцев синдикат любил впускал крайне нехотя лишь второй половине <NUM>х ситуация изменилась развитие получил статус членакорреспондента полноправного участника синдиката высокой моды ателье париже далее карл хочет показать образцы грэ замечает одного швейного мастерства haute couture недостаточно это святыня техника поиск совершенства гонитесь модой это очень важная фраза haute couture находится модой предметы тиражируются продаются магазинах просто имеют возможности стать модными это вполне вещи скорее воплощенные нарядах смыслы идеи это искусство важно кутюр техника шитья особое пространство сотканное тысяч нюансов правил мастерства именно поэтому любое платье сшитое вручную украшенное вышивкой назвать произведением высокой моды диалоге мадам грэ повторяет правила соблюдая которые бренд сможет стать домом несколько лет войти синдикат комментировать буду просто послушайте,начинается кутюрная неделя самая интересная прежде подступимся поделюсь вами интересным диалогом последней серии сериала стать карлом лагерфельдом знаете этому сериалу многих вопросы однако заслуживающие внимания моменты нем итак сцене карл желающий сделать бренд chloe котором работает домом haute couture встречается мадам грэ дело происходит начале <NUM>х грэ правах старейшей активных кутюрье живой легенды возглавляет синдикат высокой моды грэ одной ключевых фигур моды второй мировой войны карл лагерфельд ив сенлоран родились работала haute couture началу <NUM>х карл проделал большой путь новичка дома patou олимпу моды грэ казалась незыблемой представьте насколько разным мир <NUM> <NUM> мадам грэ это время работала создавала свои фирменные драпировки диалоге интересных нюансов например замечание мадам индустрия изменилась немец дело синдикат высокой моды это профсоюз парижских кутюрье именно парижских главная цель защита интересов парижских домов высокой моды иностранцев синдикат любил впускал крайне нехотя лишь второй половине <NUM>х ситуация изменилась развитие получил статус членакорреспондента полноправного участника синдиката высокой моды ателье париже далее карл хочет показать образцы грэ замечает одного швейного мастерства haute couture недостаточно это святыня техника поиск совершенства гонитесь модой это очень важная фраза haute couture находится модой предметы тиражируются продаются магазинах просто имеют возможности стать модными это вполне вещи скорее воплощенные нарядах смыслы идеи это искусство важно кутюр техника шитья особое пространство сотканное тысяч нюансов правил мастерства именно поэтому любое платье сшитое вручную украшенное вышивкой назвать произведением высокой моды диалоге мадам грэ повторяет правила соблюдая которые бренд сможет стать домом несколько лет войти синдикат комментировать буду просто послушайтеtimiliasov,13,происшествия
6,timiliasov,2024-06-24 08:53:36+00:00,"Бернар Арно все же гениален. Назначить Фаррелла Уильямса креативным директором мужской линии Louis Vuitton - это получить безусловное право на вульгарность, которой никак нельзя возразить. Как только любой белый критик скажет, что стиль Фаррелла и его коллекций это безвкусная, пошлая и уродливая вульгарщина, то молниеносно получит обвинение в расизме и имперском мышлении привилегированных белых. Что, в целом, действительно так, ибо вся эта избыточная эстетика с налетом хип-хопа, логоманией, питонами, крокодилами, мехами и золотыми цепями имеет корни (в том числе) в уличной культуре темнокожих американцев, а сама идея вульгарности, хорошего/плохого вкуса безусловно происходит из среды привилегированных белых. 

Это значит, что любая критика коллекций Фаррелла самоубийственна, а такие понятия как «плохой вкус» и «вульгарность» окончательно уходят в глубокое подполье. 

И вот тут мы видим любопытную тенденцию: социальная дифференциация от всего этого будет только расти, а не снижаться. Да, вот такой обратный эффект. Те, кто всегда считал золотые зубы и обвес в монограммах пошлыми, своего мнения не изменят, просто перестанут его демонстрировать и окончательно замкнутся в своем и без того закрытом кругу.  Стены из слоновой кости станут еще менее заметными и намного менее проницаемыми.  

Таким образом, сам Бернар Арно, оставаясь частью замкнутого и закрытого мира, будет играть Шопена на камерных вечерах в элегантном особняке и носить темно-синие блейзеры из кашемира, в его мире понятия хорошего и плохого вкуса, элегантности и вульгарности все еще значимы, но зарабатывать он будет на бойкой торговле пошлостью (о, как хорошо она продается), которой никто не посмеет возразить.",timiliasov_4372,бернар арно гениален назначить фаррелла уильямса креативным директором мужской линии louis vuitton это получить безусловное право вульгарность которой никак возразить любой белый критик скажет стиль фаррелла коллекций это безвкусная пошлая уродливая вульгарщина молниеносно получит обвинение расизме имперском мышлении привилегированных белых целом действительно ибо вся эта избыточная эстетика налетом хипхопа логоманией питонами крокодилами мехами золотыми цепями имеет корни числе уличной культуре темнокожих американцев сама идея вульгарности хорошегоплохого вкуса безусловно происходит среды привилегированных белых это значит любая критика коллекций фаррелла самоубийственна такие понятия плохой вкус вульгарность окончательно уходят глубокое подполье видим любопытную тенденцию социальная дифференциация расти снижаться обратный эффект те считал золотые зубы обвес монограммах пошлыми своего мнения изменят просто перестанут демонстрировать окончательно замкнутся своем закрытом кругу стены слоновой кости станут менее заметными намного менее проницаемыми таким образом бернар арно оставаясь частью замкнутого закрытого мира играть шопена камерных вечерах элегантном особняке носить темносиние блейзеры кашемира мире понятия хорошего плохого вкуса элегантности вульгарности значимы зарабатывать бойкой торговле пошлостью продается которой никто посмеет возразить,бернар арно гениален назначить фаррелла уильямса креативным директором мужской линии louis vuitton это получить безусловное право вульгарность которой никак возразить любой белый критик скажет стиль фаррелла коллекций это безвкусная пошлая уродливая вульгарщина молниеносно получит обвинение расизме имперском мышлении привилегированных белых целом действительно ибо вся эта избыточная эстетика налетом хипхопа логоманией питонами крокодилами мехами золотыми цепями имеет корни числе уличной культуре темнокожих американцев сама идея вульгарности хорошегоплохого вкуса безусловно происходит среды привилегированных белых это значит любая критика коллекций фаррелла самоубийственна такие понятия плохой вкус вульгарность окончательно уходят глубокое подполье видим любопытную тенденцию социальная дифференциация расти снижаться обратный эффект те считал золотые зубы обвес монограммах пошлыми своего мнения изменят просто перестанут демонстрировать окончательно замкнутся своем закрытом кругу стены слоновой кости станут менее заметными намного менее проницаемыми таким образом бернар арно оставаясь частью замкнутого закрытого мира играть шопена камерных вечерах элегантном особняке носить темносиние блейзеры кашемира мире понятия хорошего плохого вкуса элегантности вульгарности значимы зарабатывать бойкой торговле пошлостью продается которой никто посмеет возразитьtimiliasov,20,развлечения
7,timiliasov,2024-06-24 05:01:38+00:00,"Славное платье с черешнями (или с вишнями?)! 

Да, считаю оно должно появиться в ваших лентах сегодня и вдохновить добыть черешни (не знаю как вы, а я фанат).  

Это летнее вечернее платье было создано в 1898 году в Доме Ворта. Ныне хранится в коллекции Метрополитен-музея",timiliasov_4367,славное платье черешнями вишнями считаю оно должно появиться ваших лентах сегодня вдохновить добыть черешни знаю фанат это летнее вечернее платье создано <NUM> году доме ворта ныне хранится коллекции метрополитенмузея,славное платье черешнями вишнями считаю оно должно появиться ваших лентах сегодня вдохновить добыть черешни знаю фанат это летнее вечернее платье создано <NUM> году доме ворта ныне хранится коллекции метрополитенмузеяtimiliasov,25,развлечения
8,timiliasov,2024-06-23 15:03:56+00:00,"Этот музей римской античности произвел на меня огромное впечатление (а всякой разной античности я посмотрел очень много). Mузей Чентрале Монтемартини (Centrale Montemartini) в Риме находится совсем не в центре, в огромном здании бывшей тепловой электростанции и это просто гениальное, восхитительное обрамление для античной скульптуры. 

Масштабные, 
монументальные индустриальные пространства и массивная техника столетней давности (сама по себе тоже экспонат) идеально сочетаются с изящными осколками древности. Я был в невероятном восторге!",timiliasov_4366,музей римской античности произвел огромное впечатление всякой разной античности посмотрел очень mузей чентрале монтемартини centrale montemartini риме находится центре огромном здании бывшей тепловой электростанции это просто гениальное восхитительное обрамление античной скульптуры масштабные монументальные индустриальные пространства массивная техника столетней давности сама экспонат идеально сочетаются изящными осколками древности невероятном восторге,музей римской античности произвел огромное впечатление всякой разной античности посмотрел очень mузей чентрале монтемартини centrale montemartini риме находится центре огромном здании бывшей тепловой электростанции это просто гениальное восхитительное обрамление античной скульптуры масштабные монументальные индустриальные пространства массивная техника столетней давности сама экспонат идеально сочетаются изящными осколками древности невероятном восторгеtimiliasov,26,технологии
9,timiliasov,2024-06-23 08:25:23+00:00,"Кстати, интересный факт о платье из поста выше. Его версия (правда в бирюзовых оттенках) появилась в финале второго сезона моего любимого сериала «Позолоченный век».  

Сериал этот, как и другие проекты, придуманные Джулианом Феллоузом, хоть и рассказывает о вымышленных героях, атмосферу эпохи создает дотошно и скрупулезно, вплоть до вилок и салфеток.  

Действие разворачивается в 1880-х и герои одеты в соответствии с эпохой. Более того, костюмы нередко являются копиями реальных исторических вещей из музейных коллекций, прически, корсеты, силуэты - все максимально близко к историческим образцам.  

Это платье - дивный привет для продвинутых любителей истории моды.  Дело в том, что оно из другой эпохи, это платье самого конца 1890-х. Думаете это ошибка? Нет, это гениальный ход художника по костюмам, который поймут те, кто в теме. 

Сюжет сериала строится на борьбе старого общества и «новых» людей в Нью-Йорке. Главная героиня - образец всего нового, и она, и ее муж стремятся в будущее, они - завтрашний день. Поэтому, когда все остальные герои одеты четко по моде 1880-х, она появляется в платье из будущего. Классно, да?

Само это платье очень часто экспонировалось и появлялось в книгах, поэтому любители истории моды его хорошо знают и, увидев в фильме, сразу считывают смысл.  

Вывод: изучайте историю моды и тогда сериалы будет смотреть НАМНОГО интереснее.",timiliasov_4362,кстати интересный факт платье поста выше версия правда бирюзовых оттенках появилась финале второго сезона моего любимого сериала позолоченный век сериал другие проекты придуманные джулианом феллоузом рассказывает вымышленных героях атмосферу эпохи создает дотошно скрупулезно вплоть вилок салфеток действие разворачивается <NUM>х герои одеты соответствии эпохой костюмы нередко являются копиями реальных исторических вещей музейных коллекций прически корсеты силуэты максимально близко историческим образцам это платье дивный привет продвинутых любителей истории моды дело оно эпохи это платье самого конца <NUM>х думаете это ошибка это гениальный ход художника костюмам который поймут те теме сюжет сериала строится борьбе старого общества новых людей ньюйорке главная героиня образец нового муж стремятся будущее завтрашний день поэтому остальные герои одеты четко моде <NUM>х появляется платье будущего классно само это платье очень часто экспонировалось появлялось книгах поэтому любители истории моды знают увидев фильме сразу считывают смысл вывод изучайте историю моды сериалы смотреть намного интереснее,кстати интересный факт платье поста выше версия правда бирюзовых оттенках появилась финале второго сезона моего любимого сериала позолоченный век сериал другие проекты придуманные джулианом феллоузом рассказывает вымышленных героях атмосферу эпохи создает дотошно скрупулезно вплоть вилок салфеток действие разворачивается <NUM>х герои одеты соответствии эпохой костюмы нередко являются копиями реальных исторических вещей музейных коллекций прически корсеты силуэты максимально близко историческим образцам это платье дивный привет продвинутых любителей истории моды дело оно эпохи это платье самого конца <NUM>х думаете это ошибка это гениальный ход художника костюмам который поймут те теме сюжет сериала строится борьбе старого общества новых людей ньюйорке главная героиня образец нового муж стремятся будущее завтрашний день поэтому остальные герои одеты четко моде <NUM>х появляется платье будущего классно само это платье очень часто экспонировалось появлялось книгах поэтому любители истории моды знают увидев фильме сразу считывают смысл вывод изучайте историю моды сериалы смотреть намного интереснееtimiliasov,30,мода
