Title,Content,Published At,Source,URL,Category
Алексея Блиновского объявили в федеральный розыск. Последние месяцы муж блогера Елены Блиновской находился в зоне СВО. ,"Алексея Блиновского объявили в федеральный розыск. Последние месяцы муж блогера Елены Блиновской находился в зоне СВО. 

Данные о розыске Блиновского появились в базе МВД. После возбуждения уголовного дела против жены он уехал в зону СВО, откуда записал несколько обращений. Утром ряд госСМИ сообщил, что Блиновского перевели в штурмовое подразделение, которое участвует в боях под Красногоровкой. Сама Елена Блиновская по-прежнему находится в СИЗО.",2024-06-28T08:36:03+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27298,
У украинки с российским гражданством пограничники забрали украинский загранпаспорт при въезде в Россию.,"У украинки с российским гражданством пограничники забрали украинский загранпаспорт при въезде в Россию.

С такой проблемой столкнулась 42-летняя Вера В., гражданка Украины, живущая уже несколько лет в России. По словам Веры, в 2018 году она вышла замуж и переехала в Тверь, а в 2022 получила российское гражданство. От первого брака у неё осталась дочь, которую она отвозит на каникулы к отцу в Польшу. Как рассказывает Вера, она всегда показывала пограничникам оба паспорта: и российский, и украинский. 

Этим летом, 24 июня, Вера снова поехала с дочкой в Польшу. По её словам, на обратном пути на калининградской границе её задержали пограничники и сообщили, что весной вышел закон, по которому украинский загранпаспорт должны изъять на проверку. Подобный закон действительно есть, но он касается российских паспортов, например, загранники изымают у призванных на военную службу. 

Вере предложили остаться в Европе, чтобы сохранить документ, но в Твери её ждал 4-летний ребёнок. По словам женщины, паспорт изъяли без понятых и точно не сказали, как и где его можно забрать. Ей не дали сфотографировать акт и не дали никаких справок. Теперь Вера переживает, что не сможет увидеться со своей 70-летней матерью в Харькове, и не понимает, как ей забрать дочку из Польши после каникул. По её словам, с подобной проблемой сталкиваются и другие украинцы.",2024-06-28T07:50:58+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27297,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27296,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27295,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27294,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27293,
"Согласно опросу CNN, 67% зрителей считают, что Трамп победил в дебатах. ","Согласно опросу CNN, 67% зрителей считают, что Трамп победил в дебатах. 

В соцсетях публикуют мемы про состояние Байдена, а главные американские медиа пишут о «панике» в стане Демократической партии США. В тренды соцсети Х попал тег “даже CNN” — потому что даже СМИ, которое традиционно поддерживает демократов, открыто критикует выступление Байдена.

Что еще говорят после первых президентских дебатов в США?

— «Он казался немного дезориентированным. Он звучал увереннее по мере продолжения дебатов. Но к тому времени, я думаю, уже началась паника», — сказал функционер Демократической партии и политический комментатор CNN Дэвид Аксельрод.

— «Его самая большая проблема, которую он должен был доказать, заключалась в том, что у него есть энергия и выносливость. Но он этого не сделал», — заявила экс-директор по коммуникациям Белого дома Байдена и заместитель руководителя предвыборной кампании 2020 года Кейт Бедингфилд.

— В защиту Байдена выступила вице-президент Камала Харрис. «Люди могут спорить о стиле, но в конечном итоге эти выборы и вопрос о том, кто станет президентом Соединенных Штатов, должны быть содержательными. И контраст очевиден», — сказала она. При этом ей пришлось признать неуверенное начало дебатов со стороны Байдена. «Это был медленный старт. Это очевидно для всех. Я не собираюсь обсуждать этот момент», — сказал Харрис в эфире CNN.

— «Послушайте. Эти дебаты стали полной и окончательной катастрофой для Байдена. Он выглядел старым. Его ответы постоянно обрывались. Его было трудно понять. Он останавливался на полуслове и переходил к чему-то другому», — написал бывший комментатор CNN Крис Силицца.

— «Две недели назад на меня кричали за фразу: «Возраст Байдена — это политическая проблема», — написал репортер New York Times Астед Хердон.",2024-06-28T06:10:30+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27292,
25 БПЛА за ночь сбили средства ПВО в российских регионах.,"25 БПЛА за ночь сбили средства ПВО в российских регионах.

По данным Минобороны, 12 БПЛА сбиты над Брянской областью, девять — над Смоленской, два над Курской и по одному в Ростовской и Воронежской областях. В Брянске в результате падения беспилотника частично повреждена крыша административного здания. В Тамбовской же области (ее в сводке Минобороны нет) БПЛА ударил по нефтебазе в Мичуринском райне.

Военное ведомство также сообщило, что министр обороны Белоусов поручил Генштабу ВС РФ принять меры из-за полетов американских стратегических беспилотников над акваторией Черного моря, которые занимаются разведкой и указывают цели для высокоточного оружия, которое использует ВСУ. Ранее Z-каналы писали о сбитии беспилотника Global Hawk в Черном море, но никаких доказательств этого не было. При этом два дня назад (уже после этих публикаций) Министр обороны США Ллойд Остин впервые провел разговор с Белоусовым. Они обсудили конфликт в Украине и важность сохранения ""каналов коммуникации"".",2024-06-28T05:16:33+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27291,
No Title,,2024-06-28T03:25:07+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27290,
"«Нам пи***ц»: члены Демократической партии США, ее сторонники и либеральные журналисты бьют тревогу после выступления Байдена на дебатах","«Нам пи***ц»: члены Демократической партии США, ее сторонники и либеральные журналисты бьют тревогу после выступления Байдена на дебатах

«Байден выглядит и звучит ужасно. Он бессвязный», — заявил CNN представитель Демпартии США, который какое-то время работал в администрации Байдена. Другой представитель партии, который работал над выборами на протяжении всего цикла, заявил журналистам: «Нам пи**ец». Членов партии беспокоит физическое состояние Байдена, его неуверенный голос и «зависания», которые невозможно игнорировать. Байден должен был показать, что слова республиканцев о его плохом ментальном и физическом состоянии не соответствуют действительности, но лишь подтвердил эти опасения. 

«Это хороший человек. Он любит свою страну. Он делает все, что может. Но сегодня ему предстояло пройти испытание, чтобы восстановить доверие страны. И он не смог этого сделать», — отметил политический обозреватель CNN Ван Джонс, который ранее был специальным советником Барака Обамы.

На этом фоне американские либеральные СМИ и члены партии говорят о возможном экстренном решении — сменить кандидатуру Байдена на другого политика пока на это есть время. «Я думаю, что многие люди захотят, чтобы Байден подумал о выборе другого курса. Есть еще время до съезда партии, есть время найти другой путь, если нам позволят это сделать», — сказал Джонс. В эфире CNN также пришли к выводу, что подобное выступление президента приведет к панике внутри партии. Эти настроения подтвердила и журналист NBC News Хэлли Джэксон — член Конгресса США от Демпартии во время дебатов высказал при ней мысль, что на съезде партии Байдена нужно будет заменить на другого кандидата. На этом фоне штаб Трампа уже заявил об исторической победе на дебатах.",2024-06-28T03:25:07+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27289,
В Тамбовской области БПЛА атаковал нефтебазу. ,"В Тамбовской области БПЛА атаковал нефтебазу. 

Беспилотник ударил по базе в Мичуринском районе. Пожар в данный момент локализован. Власти сообщили, что жертв нет. 

""До ближайшего населенного пункта - 3 км. В случае необходимости будет проведена эвакуация жителей. Для этого все готово"", — сообщил глава региона Максим Егоров.",2024-06-28T03:04:19+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27288,
“Он довел нас до очень плохой позиции с Россией и Украиной. Потому что Украина не побеждает в этой войне”,"“Он довел нас до очень плохой позиции с Россией и Украиной. Потому что Украина не побеждает в этой войне”

Дебаты окончены. В конце кандидаты в очередной раз обменялись взаимными оскорблениями. 

Трамп в последнем слове говорил о своих достижениях во время последнего президентского срока — «Мы восстановили армию, мы организовали самое большое снижение налогов в истории, самое большое сокращение регулирования в истории». Байдена он назвал «жалобщиком» и сказал, что тот «ничего не делает». Он раскритиковал политику Байдена на границе, его подход к выводу войск из Афганистана, ситуацию в Украине и другие аспекты внешней политики. «Вас не уважают во всем мире», — сказал он Байдену.

Байден же заявил, что сомневается, что Трамп примет результаты выборов 2024 года, если проиграет, назвав конкурента «нытиком». «Ты не можешь вынести поражения. Что-то сломалось в тебе когда ты проиграл в последний раз», — отметил он. В своем заключительном заявлении Байден сказал, что его предшественник оставил разгромленную страну, а сам пообещал снизить инфляцию и решить другие проблемы.",2024-06-28T02:53:28+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27287,
"После этого бывший и действующий президент США почти минуту спорили, кто из них лучше играет в гольф (да).","После этого бывший и действующий президент США почти минуту спорили, кто из них лучше играет в гольф (да).

Сперва Байден намекнул на лишний вес Трампа, потом стал хвастаться своими достижениями в гольфе и предложил сыграть против Трампа, если тот сам сможет носить клюшки. 

Этот странный обмен мнениями закончился на том, что Трамп сказал: «Давайте не будем вести себя по-детски».",2024-06-28T02:37:38+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27286,
"«Я прошел два когнитивных теста. Я сдал их на отлично, вы знаете про это, мы опубликовали их. Он не сдавал, пусть попробует хотя бы один, он не сможет ответить на первые 5 вопросов. Я сдавал медицинские экзамены каждый год. Я в очень хорошей форме. Я только что выиграл два клубных чемпионата по гольфу. Он не может этого сделать, он не может отбить мяч на 50 ярдов»","«Я прошел два когнитивных теста. Я сдал их на отлично, вы знаете про это, мы опубликовали их. Он не сдавал, пусть попробует хотя бы один, он не сможет ответить на первые 5 вопросов. Я сдавал медицинские экзамены каждый год. Я в очень хорошей форме. Я только что выиграл два клубных чемпионата по гольфу. Он не может этого сделать, он не может отбить мяч на 50 ярдов»

Трамп объясняет, почему он в хорошей форме (в конце второго срока ему будет 82 года) — он хорошо играет в гольф и сдает тесты (физические и когнитивные) на отлично.",2024-06-28T02:30:49+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27285,
«Я хочу абсолютно безупречную чистую воду. И я хочу абсолютно чистый воздух. И он у нас был! У нас была H2O. У нас были самые лучшие показатели!»,"«Я хочу абсолютно безупречную чистую воду. И я хочу абсолютно чистый воздух. И он у нас был! У нас была H2O. У нас были самые лучшие показатели!»

Трамп, отвечая на вопрос о защите климата, заявил, что хочет «абсолютно чистой воды», но не смог назвать никаких конкретных мер.

После этого он заявил, что при его администрации была лучшая экологическая ситуация в стране (об этом говорят цифры, которые ему передали перед выступлением). 

При этом в реальности среди соратников Трампа много климатических скептиков, которые утверждают, что защита климата — левая пропаганда, которая направлена на ограничение бизнеса. Они также выступают за закрытие Агентства по охране окружающей среды США. Во время своего первого срока Трамп отменил более 100 экологических мер, введенных администрацией Обамы. 

Байден в ответ заявил: «Я не знаю, где, черт возьми, он был. Он утверждает, что сделал что-то, чтобы иметь самую чистую воду? Самую чистую воду? Ему было наплевать на окружающую среду».",2024-06-28T02:13:34+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27284,
Атмосфера на американских президентских дебатах:,"Атмосфера на американских президентских дебатах:

Байден: «Ты занимался сексом с порнозвездой, пока твоя жена была беременна»

Трамп: «У меня не было секса с порнозвездой. Это раз»",2024-06-28T01:55:56+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27283,
"“Путин — военный преступник. Он убил тысячи и тысячи людей. Он хочет восстановить часть СССР, он хочет не кусок Украины, а всю Украину. Думаете он остановится на этом, если захватит Украину? Что будет с Беларусью, с Польшей, со странами НАТО?”","“Путин — военный преступник. Он убил тысячи и тысячи людей. Он хочет восстановить часть СССР, он хочет не кусок Украины, а всю Украину. Думаете он остановится на этом, если захватит Украину? Что будет с Беларусью, с Польшей, со странами НАТО?”

Байден и Трамп спорят о ситуации в Украине.

Трамп говорит, что боевые действия никогда бы не начались, если бы он был в офисе.  «Что касается России и Украины, если бы у нас был настоящий президент, президент, которого уважал Путин, то он бы никогда не вторгся в Украину», — заявил он.  «На самом деле, я думаю, что он [Байден] подтолкнул Россию к вторжению», — добавляет он. Трамп утверждает, что он «урегулирует войну» еще до того, как «вступит в должность».

Байден комментирует его заявления: «Я никогда в жизни не слышал столько чуши». Он также назвал главу РФ “военным преступником” и заявил, что Путин хочет восстановить СССР. Байден настаивает, что если не остановить РФ сейчас, то нападению подвергнутся другие страны Европы. Он также говорит о том, что Украина сейчас получает оружие, которое производят в США, а не деньги. При этом он настаиваает, что страны Европы вкладываются на уровне США — Трамп же критикует НАТО и тот факт, что США вынуждены тратить намного больше денег, чем партнеры страны.",2024-06-28T01:47:43+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27282,
"«Я действительно не знаю, что он сказал в конце этого предложения, и я не думаю, что он тоже знает, что сказал»","«Я действительно не знаю, что он сказал в конце этого предложения, и я не думаю, что он тоже знает, что сказал»

Кандидаты спорят о массовой миграции, Трамп между делом намекает на ментальное состояние Байдена.

Последние опросы показывают, что иммиграция является ключевым вопросом для американских избирателей. Трамп говорит о масштабном кризисе, когда демократические штаты селят мигрнатов в отелях пока на улицах остаются ветераны, он обещает покончить с этой проблемой. Байден утверждает, что исправляет ситуацию и обвиняет Трампа, что при нем у мигрнатов отнимали детей, помещая их в специальные лагеря.

«Мы оказались в ситуации, когда, когда он был президентом, он забирал — отделял — младенцев от их матерей, помещал их в клетки, следя за тем, чтобы их семьи были разделены. Это неправильный путь», — сказал Байден.",2024-06-28T01:33:07+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27281,
Дебаты начались с обсуждения экономики.,"Дебаты начались с обсуждения экономики.

При этом Байден уже запнулся, когда пытался ответить на вопрос.

Джо Байден заявил, что экономика находится на подъеме и вряд ли когда-либо дела шли лучше, хотя и есть над чем работать. По мнению Трампа, «экономика терпит крах» и находится в полном беспорядке, он также отметил, что оставил Байдену идеальную ситуацию, когда уходил, но демократы разрушили все эти достижения. 

Кандидаты описывают две разные реальности — Трамп говорит, что Байден превратил США в страну третьего мира, преследует политических оппонентов и пускает в страну миллионы мигрантов. Байден утверждает, что ситуация обстоит ровно наоборот, обвиняя Трампа в проблемах страны.",2024-06-28T01:17:09+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27280,
