Title,Content,Published At,Source,URL,Category,clean_text,message_channel
"❗️""Перекрытие свободного прохода по морю считается актом войны"", — Сергей Вакуленко, эксперт аналитического центра Карнеги. #VIP_talk","❗️""Перекрытие свободного прохода по морю считается актом войны"", — Сергей Вакуленко, эксперт аналитического центра Карнеги. #VIP_talk

В недавнем интервью Сергей Вакуленко поделился текущей обстановкой в российском ТЭК: как работают западные санкции, а также что происходит с транзитом российского газа через Украину.

Про ценовой потолок:
✍️ Ценовой потолок не работает, Западу не удалось «засунуть» Россию под потолок. 
✍️ Продажа нефти НЕ по ценовому потолку — это вопрос принципа. Почему? Сегодня потолок это 60$ за баррель, завтра это 35$, а потом только специализированный эскроу-счет. Все это ведет к неполному контролю нефтяной выручки.

Про Балтийское направление:
✍️ Эстония, Финляндия, Дания пытаются ""перекрыть воздух"" России в контексте транспортировки нефти через свою территорию.
✍️ Согласно документу ""Конвенция о морском праве"" — есть правило свободного прохода, разрешающее кораблям других стран проходить через территориальные воды.
✍️ Российские танкеры не пускают, ссылаясь на экологические причины.
✍️ В реальности все произошло так: сначала у России забрали возможность пользоваться современными танкерами (санкции против Совкомфлота), потом лишили нормальной страховки (санкции против Ингосстраха), а затем сказали про экологические проблемы.
✍️ Средний возраст российских танкеров составляет 20-25 лет. Средний возраст круизных лайнеров или военных кораблей значительно старше.
✍️ На Балтийское направление сейчас приходится 30-40 % экспорта российской нефти и нефтепродуктов.

Транзит российского газа через Украину в Европу:
✍️ Все зависит от погоды: если зима будет холодной, местами без российского газа в Европе будет непросто.
✍️ Через пару лет СПГ из США и других стран сможет полностью заместить поставки газа из России.
✍️ Россия не атаковала газовые системы на Украине, возможно, это часть джентльменского соглашения.
✍️ Экспорт Газпрома: 20 млрд куб. м по трубе через Украину, 30 млрд куб. м по ""Турецкому потоку"", 15 млрд куб. м по ""Голубому потоку"". Также есть поставки в Китай и СПГ с Сахалина.
✍️ Газпром хочет хотя бы на минимальном уровне поддерживать контракты по поставкам газа в Европу.

*На фото изображен один из крупнейших разливов нефти: из танкера Exxon Valdez (1989 год) у берегов Аляски вылилось около 40 тыс. тонн нефти, загрязнено 2 тыс. км побережья.

😀 @AK47pfl",2024-07-01T08:46:08+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17915,технологии,перекрытие свободного прохода морю считается актом войны сергей вакуленко эксперт аналитического центра карнеги viptalk недавнем интервью сергей вакуленко поделился текущей обстановкой российском тэк работают западные санкции также происходит транзитом российского газа украину ценовой потолок ценовой потолок работает западу удалось засунуть россию потолок продажа нефти ценовому потолку это вопрос принципа почему сегодня потолок это 60 баррель завтра это 35 специализированный эскроусчет это ведет неполному контролю нефтяной выручки балтийское направление эстония финляндия дания пытаются перекрыть воздух россии контексте транспортировки нефти территорию согласно документу конвенция морском праве правило свободного прохода разрешающее кораблям других стран проходить территориальные воды российские танкеры пускают ссылаясь экологические причины реальности произошло сначала россии забрали возможность пользоваться современными танкерами санкции против совкомфлота лишили нормальной страховки санкции против ингосстраха затем сказали экологические проблемы средний возраст российских танкеров составляет 2025 лет средний возраст круизных лайнеров военных кораблей значительно старше балтийское направление приходится 3040 экспорта российской нефти нефтепродуктов транзит российского газа украину европу зависит погоды зима холодной местами российского газа европе непросто пару лет спг сша других стран сможет полностью заместить поставки газа россии россия атаковала газовые системы украине возможно это часть джентльменского соглашения экспорт газпрома 20 млрд куб м трубе украину 30 млрд куб м турецкому потоку 15 млрд куб м голубому потоку также поставки китай спг сахалина газпром хочет хотя минимальном уровне поддерживать контракты поставкам газа европу фото изображен крупнейших разливов нефти танкера exxon valdez 1989 год берегов аляски вылилось около 40 тыс тонн нефти загрязнено 2 тыс км побережья ak47pfl,перекрытие свободного прохода морю считается актом войны сергей вакуленко эксперт аналитического центра карнеги viptalk недавнем интервью сергей вакуленко поделился текущей обстановкой российском тэк работают западные санкции также происходит транзитом российского газа украину ценовой потолок ценовой потолок работает западу удалось засунуть россию потолок продажа нефти ценовому потолку это вопрос принципа почему сегодня потолок это 60 баррель завтра это 35 специализированный эскроусчет это ведет неполному контролю нефтяной выручки балтийское направление эстония финляндия дания пытаются перекрыть воздух россии контексте транспортировки нефти территорию согласно документу конвенция морском праве правило свободного прохода разрешающее кораблям других стран проходить территориальные воды российские танкеры пускают ссылаясь экологические причины реальности произошло сначала россии забрали возможность пользоваться современными танкерами санкции против совкомфлота лишили нормальной страховки санкции против ингосстраха затем сказали экологические проблемы средний возраст российских танкеров составляет 2025 лет средний возраст круизных лайнеров военных кораблей значительно старше балтийское направление приходится 3040 экспорта российской нефти нефтепродуктов транзит российского газа украину европу зависит погоды зима холодной местами российского газа европе непросто пару лет спг сша других стран сможет полностью заместить поставки газа россии россия атаковала газовые системы украине возможно это часть джентльменского соглашения экспорт газпрома 20 млрд куб м трубе украину 30 млрд куб м турецкому потоку 15 млрд куб м голубому потоку также поставки китай спг сахалина газпром хочет хотя минимальном уровне поддерживать контракты поставкам газа европу фото изображен крупнейших разливов нефти танкера exxon valdez 1989 год берегов аляски вылилось около 40 тыс тонн нефти загрязнено 2 тыс км побережья ak47pfl РынкиДеньгиВласть | РДВ
Главное к открытию понедельника (01.07):,"Главное к открытию понедельника (01.07):
#брифинг

👉 Значение индекса ЖиС: 60 (спокойствие). Подробнее об индексе здесь.

📍 11.7 ₽/¥, 85.4 $/барр.
📍 ЗПИФ Консорциум. Первый получил оферты на биржевой обмен 43.9 млн акций Yandex N.V. Это почти 99% акций Yandex N.V., которые торговались на Московской бирже или СПБ Бирже.
📍 Нехватка флота для обеспечения грузопотока по Севморпути зафиксирована в нацпроекте по транспорту. Текущий дефицит судов оценивается в 53%.
📍 РСПП прорабатывает идею создания фонда криптовалют, добытых в России.
📍 События сегодня: (1) ЦБ повышает надбавки к коэффициентам риска по необеспеченным потребительским кредитам.

📈 Что влияет на рынки в ближайшие 5 дней? 
Доступно членам @RDVPREMIUMbot

😀 @AK47pfl",2024-07-01T06:31:32+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17914,технологии,главное открытию понедельника 0107 брифинг значение индекса жис 60 спокойствие подробнее индексе 117 854 барр зпиф консорциум первый получил оферты биржевой обмен 439 млн акций yandex nv это 99 акций yandex nv которые торговались московской бирже спб бирже нехватка флота обеспечения грузопотока севморпути зафиксирована нацпроекте транспорту текущий дефицит судов оценивается 53 рспп прорабатывает идею создания фонда криптовалют добытых россии события сегодня 1 цб повышает надбавки коэффициентам риска необеспеченным потребительским кредитам влияет рынки ближайшие 5 дней доступно членам rdvpremiumbot ak47pfl,главное открытию понедельника 0107 брифинг значение индекса жис 60 спокойствие подробнее индексе 117 854 барр зпиф консорциум первый получил оферты биржевой обмен 439 млн акций yandex nv это 99 акций yandex nv которые торговались московской бирже спб бирже нехватка флота обеспечения грузопотока севморпути зафиксирована нацпроекте транспорту текущий дефицит судов оценивается 53 рспп прорабатывает идею создания фонда криптовалют добытых россии события сегодня 1 цб повышает надбавки коэффициентам риска необеспеченным потребительским кредитам влияет рынки ближайшие 5 дней доступно членам rdvpremiumbot ak47pfl РынкиДеньгиВласть | РДВ
😗😙😚😋 Самое важное за неделю. #weekly,"😗😙😚😋 Самое важное за неделю. #weekly

✍️ Сколько единорогов подарит нам с вами ПропТех? https://t.me/AK47pfl/17910
✍️ ЦБ ослабит поддержку рубля во втором полугодии по двум компонентам из трёх https://t.me/AK47pfl/17902
✍️Риск недооценки: прогнозы макроэкономистов и финансовое моделирование https://t.me/AK47pfl/17904
✍️Топ-20 российских компаний по капитализации https://t.me/AK47pfl/17890
✍️ Инфоаналитика на рынке — как информация становится главным инструментом трейдера https://t.me/AK47pfl/17884

🍐🍊 Члены клуба RDV PREMIUM 361° заработали +1.55% всего за несколько часов —https://t.me/AK47pfl/17896

😀 @AK47pfl",2024-06-29T11:04:40+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17912,экономика,самое важное неделю weekly сколько единорогов подарит нам вами проптех <URL> цб ослабит поддержку рубля втором полугодии двум компонентам трёх <URL> риск недооценки прогнозы макроэкономистов финансовое моделирование <URL> топ20 российских компаний капитализации <URL> инфоаналитика рынке информация становится главным инструментом трейдера <URL> члены клуба rdv premium 361 заработали 155 несколько часов <URL> ak47pfl,самое важное неделю weekly сколько единорогов подарит нам вами проптех <URL> цб ослабит поддержку рубля втором полугодии двум компонентам трёх <URL> риск недооценки прогнозы макроэкономистов финансовое моделирование <URL> топ20 российских компаний капитализации <URL> инфоаналитика рынке информация становится главным инструментом трейдера <URL> члены клуба rdv premium 361 заработали 155 несколько часов <URL> ak47pfl РынкиДеньгиВласть | РДВ
👍 Главное за неделю,"👍 Главное за неделю

1️⃣ Биофармацевтическая ГК Промомед может выйти на IPO в июле
Финансовые результаты компании в 2023 году:
• Выручка: 15.84 млрд руб (+17.5% г/г)
• Чистая прибыль: 2.97 млрд руб (-25.1% г/г)

1️⃣ Ви.Ру (бренд “Всеинструменты.ру”) анонсировало IPO на Мосбирже
Книга заявок на IPO «ВсеИнструменты» была подписана по верхней границе: 210 руб за акцию

🇪🇺 ЕС принял 14-й пакет санкций против России
• Совкомфлот попал в санкционный список ЕС
• ЕC разрешил ввоз некоторых видов алмазов из РФ
• Запрещены новые инвестиции, а также предоставление товаров, технологий и услуг для завершения строящихся СПГ-проектов
• Организациям из ЕС, работающим за пределами России, будет запрещено подключаться к СПФС

🇪🇺🇺🇦 Страны ЕС достигли соглашения по использованию 1.4 млрд евро прибыли от активов РФ для Украины. Они пойдут на военную помощь Украине

🏦 Казахстанская фондовая биржа попросила Мосбиржу продать ей свои акции

⛏ ЮГК привлекла в ходе SPO 8 млрд руб., free float составил 10.1%

📀 Polymetal подал заявку на делистинг с Mосбиржи

🍅 Русагро подала заявку на прекращение листинга на LSE, программа GDR сохраняется

🇷🇺 Льготная ставка по налогу на прибыль для ИТ-компаний может быть повышена до 7%. Ранее планировалось повышение до 5% 
Согласно проекту, эту льготу предлагается установить на период до 2030 года

🛡 СД Софтлайн принял решение о допэмиссии акций
Размер допэмиссии — до 76 002 000 штук. Цена будет определена СД позднее.
Компания объявила о намерении совершить ряд крупных M&A-сделок по приобретению высокотехнологичных компаний

🔋 Новатэк планирует отправку 2-ой линии сжижения для Арктик СПГ-2 из Мурманска в конце июля

🔋 Вслед за нефтью Россия, возможно, теперь будет создавать теневой флот для перевозки газа
За последние три месяца право собственности по меньшей мере на восемь судов было передано малоизвестным компаниям в Дубае

⛽️ Газпром в 2027 году запустит «дальневосточный» маршрут в Китай на 10 млрд куб. м газа в год
После 2027 года Газпром станет крупнейшим поставщиком газа в Китай, заявил Миллер

⛽️ Газпром подписал стратегический меморандум о проработке организации поставок российского газа в Иран
Газпром и NIGC превратят Иран в газовый хаб — и. о. президента Ирана

👁 Главный аналитический инструмент для трейдера и активного инвестора",2024-06-29T08:45:15+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17911,технологии,главное неделю 1 биофармацевтическая гк промомед выйти ipo июле финансовые результаты компании 2023 году выручка 1584 млрд руб 175 гг чистая прибыль 297 млрд руб 251 гг 1 виру бренд всеинструментыру анонсировало ipo мосбирже книга заявок ipo всеинструменты подписана верхней границе 210 руб акцию ес принял 14й пакет санкций против россии совкомфлот попал санкционный список ес еc разрешил ввоз некоторых видов алмазов рф запрещены новые инвестиции также предоставление товаров технологий услуг завершения строящихся спгпроектов организациям ес работающим пределами россии запрещено подключаться спфс страны ес достигли соглашения использованию 14 млрд евро прибыли активов рф украины пойдут военную помощь украине казахстанская фондовая биржа попросила мосбиржу продать свои акции югк привлекла ходе spo 8 млрд руб free float составил 101 polymetal подал заявку делистинг mосбиржи русагро подала заявку прекращение листинга lse программа gdr сохраняется льготная ставка налогу прибыль иткомпаний повышена 7 ранее планировалось повышение 5 согласно проекту льготу предлагается установить период 2030 года сд софтлайн принял решение допэмиссии акций размер допэмиссии 76 002 000 штук цена определена сд позднее компания объявила намерении совершить ряд крупных maсделок приобретению высокотехнологичных компаний новатэк планирует отправку 2ой линии сжижения арктик спг2 мурманска конце июля вслед нефтью россия возможно создавать теневой флот перевозки газа последние месяца право собственности меньшей мере восемь судов передано малоизвестным компаниям дубае газпром 2027 году запустит дальневосточный маршрут китай 10 млрд куб м газа год 2027 года газпром станет крупнейшим поставщиком газа китай заявил миллер газпром подписал стратегический меморандум проработке организации поставок российского газа иран газпром nigc превратят иран газовый хаб президента ирана главный аналитический инструмент трейдера активного инвестора,главное неделю 1 биофармацевтическая гк промомед выйти ipo июле финансовые результаты компании 2023 году выручка 1584 млрд руб 175 гг чистая прибыль 297 млрд руб 251 гг 1 виру бренд всеинструментыру анонсировало ipo мосбирже книга заявок ipo всеинструменты подписана верхней границе 210 руб акцию ес принял 14й пакет санкций против россии совкомфлот попал санкционный список ес еc разрешил ввоз некоторых видов алмазов рф запрещены новые инвестиции также предоставление товаров технологий услуг завершения строящихся спгпроектов организациям ес работающим пределами россии запрещено подключаться спфс страны ес достигли соглашения использованию 14 млрд евро прибыли активов рф украины пойдут военную помощь украине казахстанская фондовая биржа попросила мосбиржу продать свои акции югк привлекла ходе spo 8 млрд руб free float составил 101 polymetal подал заявку делистинг mосбиржи русагро подала заявку прекращение листинга lse программа gdr сохраняется льготная ставка налогу прибыль иткомпаний повышена 7 ранее планировалось повышение 5 согласно проекту льготу предлагается установить период 2030 года сд софтлайн принял решение допэмиссии акций размер допэмиссии 76 002 000 штук цена определена сд позднее компания объявила намерении совершить ряд крупных maсделок приобретению высокотехнологичных компаний новатэк планирует отправку 2ой линии сжижения арктик спг2 мурманска конце июля вслед нефтью россия возможно создавать теневой флот перевозки газа последние месяца право собственности меньшей мере восемь судов передано малоизвестным компаниям дубае газпром 2027 году запустит дальневосточный маршрут китай 10 млрд куб м газа год 2027 года газпром станет крупнейшим поставщиком газа китай заявил миллер газпром подписал стратегический меморандум проработке организации поставок российского газа иран газпром nigc превратят иран газовый хаб президента ирана главный аналитический инструмент трейдера активного инвестора РынкиДеньгиВласть | РДВ
💫 Сколько единорогов подарит нам с вами ПропТех? #аналитика ,"💫 Сколько единорогов подарит нам с вами ПропТех? #аналитика 

Наши аналитические партнёры из PFL Advisors поделились обновлённым обзором рынка ПропТех.

По мнению источников, ПропТех может изменить рынок жилья, став единым ""маркетплейсом"", который объединит рынок недвижимости, юридических и банковских услуг, ремонта и дизайна и ЖКХ.

ПропТех может организовать самый большой потребительский рынок в России размером 26 трлн рублей, как Яндекс организовал РайдТех, а Ozon и Wildberries организовали E-коммерс.

Презентация от партнёров о размере рынка и об игроках, которые могут потенциально его занять — в приложении к этому посту.

😀 @AK47pfl",2024-06-28T16:43:03+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17910,технологии,сколько единорогов подарит нам вами проптех аналитика наши аналитические партнёры pfl advisor поделились обновлённым обзором рынка проптех мнению источников проптех изменить рынок жилья став единым маркетплейсом который объединит рынок недвижимости юридических банковских услуг ремонта дизайна жкх проптех организовать самый большой потребительский рынок россии размером 26 трлн рублей яндекс организовал райдтех ozon wildberries организовали eкоммерс презентация партнёров размере рынка игроках которые могут потенциально занять приложении этому посту ak47pfl,сколько единорогов подарит нам вами проптех аналитика наши аналитические партнёры pfl advisor поделились обновлённым обзором рынка проптех мнению источников проптех изменить рынок жилья став единым маркетплейсом который объединит рынок недвижимости юридических банковских услуг ремонта дизайна жкх проптех организовать самый большой потребительский рынок россии размером 26 трлн рублей яндекс организовал райдтех ozon wildberries организовали eкоммерс презентация партнёров размере рынка игроках которые могут потенциально занять приложении этому посту ak47pfl РынкиДеньгиВласть | РДВ
"ВТБ (VTBR) отчитался за 5 месяцев 2024. ROE снизился до 24.7%, источники РДВ сохраняют нейтрально-негативный взгляд. #аналитика","ВТБ (VTBR) отчитался за 5 месяцев 2024. ROE снизился до 24.7%, источники РДВ сохраняют нейтрально-негативный взгляд. #аналитика

Основное из отчёта:
✍️ Чистые процентные доходы за 5 месяцев 244.1 млрд руб.  (-22% г/г), в мае 45.4 млрд руб. (-32.6% г/г ).
✍️ Чистая прибыль за май без учёта прочих операционных доходов могла не превысить 10 млрд руб.
✍️ Показатель ROE в мае снизился до 14.9%, чистая процентная маржа снизилась до 1.9% (-140 б.п. г/г).
✍️ Показатель ROE за 5 месяцев снизился до 24.7% (-940 б.п. г/г)
✍️ Розничный бизнес ВТБ за прошедшие 5 месяцев оказался убыточным, принес банку -15.2 млрд руб.
✍️ Большая часть (71.3%) чистой прибыли заработана корпоративно-инвестиционным бизнесом (КИБ). Кредитный портфель КИБ — около половины всего кредитного портфеля ВТБ, более 11 трлн руб.

Источники РДВ сохраняют нейтрально-негативный взгляд на акции ВТБ, не видят фундаментального апсайда.

😀 @AK47pfl",2024-06-28T13:29:08+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17909,образование,втб vtbr отчитался 5 месяцев 2024 roe снизился 247 источники рдв сохраняют нейтральнонегативный взгляд аналитика основное отчёта чистые процентные доходы 5 месяцев 2441 млрд руб 22 гг мае 454 млрд руб 326 гг чистая прибыль май учёта прочих операционных доходов могла превысить 10 млрд руб показатель roe мае снизился 149 чистая процентная маржа снизилась 19 140 бп гг показатель roe 5 месяцев снизился 247 940 бп гг розничный бизнес втб прошедшие 5 месяцев оказался убыточным принес банку 152 млрд руб большая часть 713 чистой прибыли заработана корпоративноинвестиционным бизнесом киб кредитный портфель киб около половины кредитного портфеля втб 11 трлн руб источники рдв сохраняют нейтральнонегативный взгляд акции втб видят фундаментального апсайда ak47pfl,втб vtbr отчитался 5 месяцев 2024 roe снизился 247 источники рдв сохраняют нейтральнонегативный взгляд аналитика основное отчёта чистые процентные доходы 5 месяцев 2441 млрд руб 22 гг мае 454 млрд руб 326 гг чистая прибыль май учёта прочих операционных доходов могла превысить 10 млрд руб показатель roe мае снизился 149 чистая процентная маржа снизилась 19 140 бп гг показатель roe 5 месяцев снизился 247 940 бп гг розничный бизнес втб прошедшие 5 месяцев оказался убыточным принес банку 152 млрд руб большая часть 713 чистой прибыли заработана корпоративноинвестиционным бизнесом киб кредитный портфель киб около половины кредитного портфеля втб 11 трлн руб источники рдв сохраняют нейтральнонегативный взгляд акции втб видят фундаментального апсайда ak47pfl РынкиДеньгиВласть | РДВ
Индекс ЖиС: история с июля 2014 года. #тактика,"Индекс ЖиС: история с июля 2014 года. #тактика

👉 Подробнее об индексе ЖиС: https://telegra.ph/Indeks-zhadnosti-i-straha-kak-predvidet-massovye-pokupki-i-rasprodazhi-na-rynke-08-29

😀 @AK47pfl",2024-06-28T12:39:31+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17908,образование,индекс жис история июля 2014 года тактика подробнее индексе жис <URL> ak47pfl,индекс жис история июля 2014 года тактика подробнее индексе жис <URL> ak47pfl РынкиДеньгиВласть | РДВ
😛😝😜🤪🤨🧐🤓 Конкурс РДВ на самый точный прогноз курса доллара юаня на конец 2024. #оракул_рубля,"😛😝😜🤪🤨🧐🤓 Конкурс РДВ на самый точный прогноз курса доллара юаня на конец 2024. #оракул_рубля

За неделю рубль укрепился на 3.3%. Текущий курс 1¥=11.49.
С начала года рубль укрепился на 9.7%.

Что влияет на рубль:
✍ Фундаментал. Российские товары подорожали на 28% с начала СВО, китайские — не подорожали. Для компенсации этой потери рубль должен слабнуть: https://t.me/AK47pfl/17854
✍ Технические факторы. Санкции против Мосбиржи осложнили отток капитала, а многие традиционные участники этого оттока еще не ""перестроились на юань"": https://t.me/AK47pfl/17854
✍ Смягчение требования о репатриации валютной выручки: доля обязательной продажи снижена с 80% до 60%.
✍ Биржевые торги валютой умирают: https://t.me/AK47pfl/17882
✍ ЦБ ослабит поддержку рубля во втором полугодии по двум компонентам из трёх. Продажи по ним сократятся с 11.8 до 8.4 млрд рублей в день: https://t.me/AK47pfl/17902

👉 Участники конкурса Оракул рубля: https://t.me/AK47pfl/17873

😀 @AK47pfl",2024-06-28T10:42:40+00:00,РынкиДеньгиВласть | РДВ,https://t.me/AK47pfl/17907,технологии,конкурс рдв самый точный прогноз курса доллара юаня конец 2024 оракулрубля неделю рубль укрепился 33 текущий курс 11149 начала года рубль укрепился 97 влияет рубль фундаментал российские товары подорожали 28 начала сво китайские подорожали компенсации потери рубль должен слабнуть <URL> технические факторы санкции против мосбиржи осложнили отток капитала многие традиционные участники оттока перестроились юань <URL> смягчение требования репатриации валютной выручки доля обязательной продажи снижена 80 60 биржевые торги валютой умирают <URL> цб ослабит поддержку рубля втором полугодии двум компонентам трёх продажи сократятся 118 84 млрд рублей день <URL> участники конкурса оракул рубля <URL> ak47pfl,конкурс рдв самый точный прогноз курса доллара юаня конец 2024 оракулрубля неделю рубль укрепился 33 текущий курс 11149 начала года рубль укрепился 97 влияет рубль фундаментал российские товары подорожали 28 начала сво китайские подорожали компенсации потери рубль должен слабнуть <URL> технические факторы санкции против мосбиржи осложнили отток капитала многие традиционные участники оттока перестроились юань <URL> смягчение требования репатриации валютной выручки доля обязательной продажи снижена 80 60 биржевые торги валютой умирают <URL> цб ослабит поддержку рубля втором полугодии двум компонентам трёх продажи сократятся 118 84 млрд рублей день <URL> участники конкурса оракул рубля <URL> ak47pfl РынкиДеньгиВласть | РДВ
Рост госдолга в мире угрожает финансовой стабильности - BIS,"Рост госдолга в мире угрожает финансовой стабильности - BIS

Рост объемов государственного долга в мире угрожает финансовой стабильности и подвергает правительства риску кризиса, который потряс Великобританию в 2022 году, предупреждает Банк международных расчетов (BIS).

Хотя мировая экономика и находится на пути к ""плавной посадке"" после инфляционного кризиса, политикам нужно быть осторожными, заявил глава BIS Агустин Карстенс, которого цитирует The Guardian. Глобальный госдолг уже достиг рекордных уровней, а выборы - от недавно прошедших в Мексике и ЮАР до парламентских во Франции и Великобритании в ближайшее время и президентских в США в ноябре - несут в себе риски.

""Правительства должны прекратить наращивание госдолга и признать, что процентные ставки могут не вернуться к допандемийным сверхнизким уровням, - полагает он. - Нам нужна прочная основа для дальнейшего развития"".

Финансовый стресс исторически возникал через два-три года после начала цикла повышения ставок, то есть он все еще может произойти в течение следующего года.

В отчете банка отмечается, что центральным банкам следует избегать слишком быстрого снижения процентных ставок из-за риска нового всплеска инфляции.

""Преждевременное смягчение может вновь спровоцировать инфляционное давление и вызвать дорогостоящий разворот политики - тем более дорогостоящей, что доверие будет подорвано"", - говорится в сообщении.

@ifax_go",2024-07-01T10:13:56+00:00,Интерфакс. Рынки,https://t.me/ifax_go/11793,технологии,рост госдолга мире угрожает финансовой стабильности bi рост объемов государственного долга мире угрожает финансовой стабильности подвергает правительства риску кризиса который потряс великобританию 2022 году предупреждает банк международных расчетов bi хотя мировая экономика находится пути плавной посадке инфляционного кризиса политикам нужно осторожными заявил глава bi агустин карстенс которого цитирует guardian глобальный госдолг достиг рекордных уровней выборы недавно прошедших мексике юар парламентских франции великобритании ближайшее время президентских сша ноябре несут риски правительства должны прекратить наращивание госдолга признать процентные ставки могут вернуться допандемийным сверхнизким уровням полагает нам нужна прочная основа дальнейшего развития финансовый стресс исторически возникал дватри года начала цикла повышения ставок произойти течение следующего года отчете банка отмечается центральным банкам следует избегать слишком быстрого снижения процентных ставок изза риска нового всплеска инфляции преждевременное смягчение вновь спровоцировать инфляционное давление вызвать дорогостоящий разворот политики дорогостоящей доверие подорвано говорится сообщении ifaxgo,рост госдолга мире угрожает финансовой стабильности bi рост объемов государственного долга мире угрожает финансовой стабильности подвергает правительства риску кризиса который потряс великобританию 2022 году предупреждает банк международных расчетов bi хотя мировая экономика находится пути плавной посадке инфляционного кризиса политикам нужно осторожными заявил глава bi агустин карстенс которого цитирует guardian глобальный госдолг достиг рекордных уровней выборы недавно прошедших мексике юар парламентских франции великобритании ближайшее время президентских сша ноябре несут риски правительства должны прекратить наращивание госдолга признать процентные ставки могут вернуться допандемийным сверхнизким уровням полагает нам нужна прочная основа дальнейшего развития финансовый стресс исторически возникал дватри года начала цикла повышения ставок произойти течение следующего года отчете банка отмечается центральным банкам следует избегать слишком быстрого снижения процентных ставок изза риска нового всплеска инфляции преждевременное смягчение вновь спровоцировать инфляционное давление вызвать дорогостоящий разворот политики дорогостоящей доверие подорвано говорится сообщении ifaxgo Интерфакс. Рынки
