Title,Content,Published At,Source,URL,Category
No Title,,2024-06-28T10:02:40+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27301,
No Title,,2024-06-28T10:02:40+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27300,
"«Ворвались пьяные люди. Говорят, это их дом. Разгромили, потрахались»","«Ворвались пьяные люди. Говорят, это их дом. Разгромили, потрахались»

Пьяный якутский полицейский пробрался в чужой дом и занялся там сексом со своей женой. А утром напал на владельцев дома, которые зашли в дом и возмутились происходящим.

28-летнего аналитика МВД Сергея Григорьева в изменённом состояния сознания нашли в чужом доме в Мархе утром 22 июня. Хозяева дома вернулись после празднования встречи солнца (традиционный праздник) и услышали на втором этаже дома чужие голоса. Успугавшись, они поднялись и увидели полуголую пару: Сергей начал кричать, его жена смеялась и ползла в туалет. Владельцы дома вызвали полицию, в это время на месте появился друг Григорьева — начальник Следственного управления городской полиции Сергей Никифоров. 

Оказалось, что рядом с домом супругов находится гостиничный домик «Барнхаус», который на вечер арендовали сотрудники Следственного управления МУ МВД РФ «Якутское». После разборки хозяева дома написали заявление в полицию, началась проверка. Раньше Григорьев служил в ВС РФ, в последнее время трудился в якутской полиции — после пьяной выходки он якобы уволился по собственному желанию. ""Осторожно, новости"" также обнаружили, что мужчина оперативно удалил свои соцсети.",2024-06-28T10:02:40+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27299,
Алексея Блиновского объявили в федеральный розыск. Последние месяцы муж блогера Елены Блиновской находился в зоне СВО. ,"Алексея Блиновского объявили в федеральный розыск. Последние месяцы муж блогера Елены Блиновской находился в зоне СВО. 

Данные о розыске Блиновского появились в базе МВД. После возбуждения уголовного дела против жены он уехал в зону СВО, откуда записал несколько обращений. Утром ряд госСМИ сообщил, что Блиновского перевели в штурмовое подразделение, которое участвует в боях под Красногоровкой. Сама Елена Блиновская по-прежнему находится в СИЗО.",2024-06-28T08:36:03+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27298,
У украинки с российским гражданством пограничники забрали украинский загранпаспорт при въезде в Россию.,"У украинки с российским гражданством пограничники забрали украинский загранпаспорт при въезде в Россию.

С такой проблемой столкнулась 42-летняя Вера В., гражданка Украины, живущая уже несколько лет в России. По словам Веры, в 2018 году она вышла замуж и переехала в Тверь, а в 2022 получила российское гражданство. От первого брака у неё осталась дочь, которую она отвозит на каникулы к отцу в Польшу. Как рассказывает Вера, она всегда показывала пограничникам оба паспорта: и российский, и украинский. 

Этим летом, 24 июня, Вера снова поехала с дочкой в Польшу. По её словам, на обратном пути на калининградской границе её задержали пограничники и сообщили, что весной вышел закон, по которому украинский загранпаспорт должны изъять на проверку. Подобный закон действительно есть, но он касается российских паспортов, например, загранники изымают у призванных на военную службу. 

Вере предложили остаться в Европе, чтобы сохранить документ, но в Твери её ждал 4-летний ребёнок. По словам женщины, паспорт изъяли без понятых и точно не сказали, как и где его можно забрать. Ей не дали сфотографировать акт и не дали никаких справок. Теперь Вера переживает, что не сможет увидеться со своей 70-летней матерью в Харькове, и не понимает, как ей забрать дочку из Польши после каникул. По её словам, с подобной проблемой сталкиваются и другие украинцы.",2024-06-28T07:50:58+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27297,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27296,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27295,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27294,
No Title,,2024-06-28T06:10:31+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27293,
"Согласно опросу CNN, 67% зрителей считают, что Трамп победил в дебатах. ","Согласно опросу CNN, 67% зрителей считают, что Трамп победил в дебатах. 

В соцсетях публикуют мемы про состояние Байдена, а главные американские медиа пишут о «панике» в стане Демократической партии США. В тренды соцсети Х попал тег “даже CNN” — потому что даже СМИ, которое традиционно поддерживает демократов, открыто критикует выступление Байдена.

Что еще говорят после первых президентских дебатов в США?

— «Он казался немного дезориентированным. Он звучал увереннее по мере продолжения дебатов. Но к тому времени, я думаю, уже началась паника», — сказал функционер Демократической партии и политический комментатор CNN Дэвид Аксельрод.

— «Его самая большая проблема, которую он должен был доказать, заключалась в том, что у него есть энергия и выносливость. Но он этого не сделал», — заявила экс-директор по коммуникациям Белого дома Байдена и заместитель руководителя предвыборной кампании 2020 года Кейт Бедингфилд.

— В защиту Байдена выступила вице-президент Камала Харрис. «Люди могут спорить о стиле, но в конечном итоге эти выборы и вопрос о том, кто станет президентом Соединенных Штатов, должны быть содержательными. И контраст очевиден», — сказала она. При этом ей пришлось признать неуверенное начало дебатов со стороны Байдена. «Это был медленный старт. Это очевидно для всех. Я не собираюсь обсуждать этот момент», — сказал Харрис в эфире CNN.

— «Послушайте. Эти дебаты стали полной и окончательной катастрофой для Байдена. Он выглядел старым. Его ответы постоянно обрывались. Его было трудно понять. Он останавливался на полуслове и переходил к чему-то другому», — написал бывший комментатор CNN Крис Силицца.

— «Две недели назад на меня кричали за фразу: «Возраст Байдена — это политическая проблема», — написал репортер New York Times Астед Хердон.",2024-06-28T06:10:30+00:00,"Осторожно, новости",https://t.me/ostorozhno_novosti/27292,
